years,enrollment
2020-01-01,25349502
2019-01-01,26091786
2018-01-01,26322620
2017-01-01,26421008
2016-01-01,26706865
2015-01-01,26953976
2014-01-01,27410085
2013-01-01,27835916
2012-01-01,28300104
2011-01-01,29036155
2010-01-01,29507367
2009-01-01,28907440
2008-01-01,27253481
2007-01-01,25886779
2006-01-01,25043867
2005-01-01,24689847
2004-01-01,24475143
2003-01-01,24094265
2002-01-01,23793871
2001-01-01,23010948
